AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
-331,-2174,4705,-1003,-343,105,386,-155,120
-153,-2602,5246,170,-71,87,540,-359,-149
-493,-3669,5359,1496,284,102,596,-376,-244
,,,,,,,,
-270,-3361,4328,3148,427,442,460,-162,-16
-876,3161,2785,540,-437,820,-7,28,-239
1861,1151,4833,-506,1788,-612,-20,24,-256
152,1157,4850,314,774,-1271,-16,34,-259
-356,733,4617,1342,47,-1261,23,67,-277
-1301,1084,2002,2310,904,-368,58,40,-294
-773,2085,1397,955,40,-506,106,-37,-271
-526,2400,1278,-298,-425,-151,139,-89,-236
-132,2667,1114,-1242,-499,8,142,-88,-233
-316,1472,1913,-2231,-466,-217,125,-40,-273
235,110,3762,-2357,-130,-363,106,95,-288
-493,-227,3772,-2074,65,-99,121,239,-250
-175,-1264,4392,-1820,-412,-225,142,316,-146
-15,-2280,5730,-1623,-602,21,221,279,69
116,-1977,5028,-974,-452,50,375,-31,107
359,-2573,4637,-753,-337,-244,536,-222,-151
-206,-2991,4584,926,178,51,658,-234,-415
-75,-3002,4375,1064,-8,274,649,-225,-392
143,-2928,4678,2462,413,635,513,-116,-149
2,-301,2481,3446,105,194,314,57,-35
,,,,,,,,
-351,2143,1287,1456,-201,-411,204,76,-93
1223,420,3966,16,-257,56,-77,207,-259
1575,722,4347,711,53,-916,-98,185,-261
1406,770,4543,844,43,-1053,-97,183,-266
858,1214,3987,1145,707,-968,-87,161,-279
-45,1545,3311,1637,659,-901,-52,102,-301
-321,2114,2838,1155,495,-672,7,16,-297
-556,2669,2480,671,-16,-654,47,-52,-272
-560,2720,1784,229,105,-62,76,-79,-256
-358,2941,1270,-509,-161,189,81,-107,-241
240,2641,1852,-1323,62,75,77,-109,-249
-120,1243,3214,-2081,-675,-161,76,-46,-283
434,1040,3265,-1938,79,-247,71,69,-301
144,-564,4013,-1871,-383,-149,72,190,-288
-148,-880,4034,-1595,52,-120,86,292,-218
-368,-1432,4221,-1626,439,-340,104,340,-88
-11,-1788,4000,-1361,45,-138,162,274,76
-329,-2755,5004,-970,-15,-27,275,20,133
-339,-2288,3970,-302,297,92,414,-145,-9
-315,-2712,4731,-118,-333,78,522,-187,-142
,,,,,,,,
-265,-2821,4420,866,248,81,576,-201,-205
252,552,4056,-6,7,-29,-15,198,-256
636,645,5105,448,260,-565,-4,206,-261
391,638,4817,684,156,-689,4,208,-254
16,532,4692,747,7,-841,29,198,-258
-461,718,3788,988,333,-802,43,181,-274
-804,1186,3497,1134,141,-705,78,144,-296
-945,1600,2984,1055,-40,-857,106,106,-293
-1205,1788,2540,1359,-799,-1034,131,56,-286
-948,2603,1751,82,-85,-140,124,16,-281
-515,2515,2223,-513,-122,94,125,-3,-282
-474,1958,2295,-1164,-19,24,123,-1,-284
-550,1422,2580,-1177,-139,158,111,52,-299
-273,919,3210,-1487,-119,8,101,124,-305
-424,-87,4045,-1723,-382,-136,97,211,-282
-141,-582,4083,-1476,-469,-371,102,311,-222
-161,-1103,4539,-1322,-305,-381,120,373,-119
-227,-1664,4202,-1022,36,-192,153,363,52
-153,-2273,4818,-1034,105,-65,221,242,183
-446,-1796,3199,-1006,-329,8,339,-4,201
,,,,,,,,
201,-2723,3933,-605,-171,17,445,-220,-29
-139,584,4095,-50,-17,9,24,165,-207
-77,685,4866,360,529,-598,26,176,-212
-492,579,4889,597,-36,-847,31,178,-211
-328,779,4753,1011,-71,-948,48,180,-221
-770,690,3745,1277,258,-1392,67,162,-240
-1457,793,3138,1955,-91,-1159,98,124,-259
-1211,1340,2561,2107,-860,-622,119,62,-260
-657,2701,951,560,671,-34,109,-25,-238
-912,3114,1379,-962,152,152,119,-79,-206
-530,2507,2048,-1482,-253,-42,135,-58,-223
-707,1551,2568,-1736,-178,-76,123,12,-248
-408,732,3849,-1840,64,-330,122,111,-252
-995,-240,4087,-1570,-289,-460,126,208,-231
-1026,-797,4123,-974,-581,-269,131,312,-166
-512,-1185,4319,-1457,-395,-280,125,379,-59
-457,-1644,3688,-1061,-441,-592,141,366,119
-694,-2426,3883,-631,368,-897,215,152,336
-432,-2730,3864,-1156,115,182,362,-253,289
-546,-2756,3581,-602,330,0,564,-440,-146
,,,,,,,,
